'fa'yi 法医
'fan'yi 翻译
'fang'du'qi'cai'shi'yan'gong 防毒器材试验工
'fang'du'qi'cai'zhuang'pei'gong 防毒器材装配工
'fang'fu'shi'gong 防腐蚀工
'fang'huo'yuan 防火员
'fang'sha'gong'cheng'ji'shu'ren'yuan 纺纱工程技术人员
'fang'she'ke'yi'shi 放射科医师
'fang'she'wei'sheng'yi'shi 放射卫生医师
'fang'she'zhong'liu'ke'yi'shi 放射肿瘤科医师
'fang'shen'qiang'gong 防渗墙工
'fang'shui'gong 防水工
'fang'si'gong 纺丝工
'fang'si'ning'gu'yu'ye'pei'zhi'gong 纺丝凝固浴液配制工
'fang'zhi'xian'wei'jian'yan'gong 纺织纤维检验工
'fang'zhi'zhen'zhi'ran'se'gong 纺织针织染色工
'fei'ji'fa'dong'ji'fu'jian'zhuang'pei'gong 飞机发动机附件装配工
'fei'ji'fa'dong'ji'she'ji'gong'cheng'ji'shu'ren'yuan 飞机发动机设计工程技术人员
'fei'ji'fa'dong'ji'zhi'zao'gong'cheng'ji'shu'ren'yuan 飞机发动机制造工程技术人员
'fei'ji'fu'he'cai'liao'zhi'pin'gong 飞机复合材料制品工
'fei'ji'jian'yan'gong 飞机检验工
'fei'ji'jun'xie'an'zhuang'tiao'shi'gong 飞机军械安装调试工
'fei'ji'lei'da'an'zhuang'tiao'shi'gong 飞机雷达安装调试工
'fei'ji'luo'xuan'jiang'jian'yan'gong 飞机螺旋桨检验工
'fei'ji'luo'xuan'jiang'shi'yan'gong 飞机螺旋桨试验工
'fei'ji'luo'xuan'jiang'zhuang'pei'gong 飞机螺旋桨装配工
'fei'ji'she'ji'gong'cheng'ji'shu'ren'yuan 飞机设计工程技术人员
'fei'ji'shi'yan'gong 飞机试验工
'fei'ji'te'zhong'she'bei'jian'ce'yu'xiu'li'gong 飞机特种设备检测与修理工
'fei'ji'tou'ming'jian'zhi'zao'jiao'jie'zhuang'pei'gong 飞机透明件制造胶接装配工
'fei'ji'wai'chang'tiao'shi'yu'wei'hu'gong 飞机外场调试与维护工
'fei'ji'wu'xian'dian'she'bei'an'zhuang'tiao'shi'gong 飞机无线电设备安装调试工
'fei'ji'xi'tong'an'zhuang'tiao'shi'gong 飞机系统安装调试工
'fei'ji'yi'biao'an'zhuang'shi'yan'gong 飞机仪表安装试验工
'fei'ji'zhi'zao'gong'cheng'ji'shu'ren'yuan 飞机制造工程技术人员
'fei'ji'zhuang'pei'gong 飞机装配工
'fei'jiao'zai'sheng'gong 废胶再生工
'fei'jin'shu'kuang'ji'zhi'pin'gong'cheng'ji'shu'ren'yuan 非金属矿及制品工程技术人员
'fei'jiu'wu'zi'hui'shou'tiao'xuan'gong 废旧物资回收挑选工
'fei'jiu'wu'zi'jia'gong'gong 废旧物资加工工
'fei'qi'chu'li'gong 废气处理工
'fei'shui'chu'li'gong 废水处理工
'fei'xing'ji'xie'yuan 飞行机械员
'fei'xing'jia'shi'yuan 飞行驾驶员
'fei'xing'ling'hang'yuan 飞行领航员
'fei'xing'tong'xin'yuan 飞行通信员
'fen'mo'ye'jin'zhi'zao'gong 粉末冶金制造工
'fen'quan'shu'zhi'sheng'chan'gong 酚醛树脂生产工
'fen'xi'yi'qi'yi'biao'zhuang'pei'gong 分析仪器仪表装配工
'feng'chan'pin'jia'gong'gong 蜂产品加工工
'feng'jing'yuan'lin'gong'cheng'ji'shu'ren'yuan 风景园林工程技术人员
'feng'ren'gong 缝纫工
'feng'ren'ji'zhi'zao'zhuang'pei'gong 缝纫机制造装配工
'feng'ren'pin'zheng'xing'gong 缝纫品整形工
'feng'ren'zhi'pin'chong'tian'chu'li'gong 缝纫制品充填处理工
'fu'chan'ke'yi'shi 妇产科医师
'fu'he'gu'ti'fa'dong'ji'zhuang'yao'gong 复合固体发动机装药工
'fu'he'gu'ti'tui'jin'ji'cheng'xing'gong 复合固体推进剂成型工
'fu'he'lin'fei'sheng'chan'gong 复合磷肥生产工
'fu'hua'yan'sheng'chan'gong 氟化盐生产工
'fu'nv'lian'he'hui'fu'ze'ren 妇女联合会负责人
'fu'xuan'gong 浮选工
'fu'you'bao'jian'yi'shi 妇幼保健医师
'fu'yu'cai'fa'gong 抚育采伐工
'fu'zhuang'mo'te 服装模特
'fu'zhuang'she'ji'ren'yuan 服装设计人员
'fu'zhuang'shui'xi'gong 服装水洗工
'fu'zhuang'xie'mao'jian'yan'gong 服装鞋帽检验工
'gai'mei'lin'fei'sheng'chan'gong 钙镁磷肥生产工
'gan'guang'cai'liao'jian'yan'gong 感光材料检验工
'gan'guang'cai'liao'shi'yan'gong 感光材料试验工
'gan'guang'cai'liao'zhi'zao'gong 感光材料制造工
'gan'guang'gu'tu'fu'gong 感光鼓涂敷工
'gan'you'gong 甘油工
'gan'zao'gong 干燥工
'gang'jin'gong 钢筋工
'gang'kou'ke'yun'yuan 港口客运员
'gang'kou'wei'hu'gong 港口维护工
'gang'kou'yu'hang'dao'gong'cheng'ji'shu'ren'yuan 港口与航道工程技术人员
'gang'qin'ji'jian'pan'yue'qi'zhi'zuo'gong 钢琴及键盘乐器制作工
'gang'si'sheng'zhi'zao'gong 钢丝绳制造工
'gao'deng'jiao'yu'jiao'shi 高等教育教师
'gao'deng'xue'xiao'xiao'zhang 高等学校校长
'gao'di'ya'dian'qi'zhuang'pei'gong 高低压电器装配工
'gao'dian'zhuang'shi'gong 糕点装饰工
'gao'fen'zi'fang'shui'juan'cai'sheng'chan'gong 高分子防水卷材生产工
'gao'ling'tu'zhi'pin'gong 高岭土制品工
'gao'lu'lu'qian'gong 高炉炉前工
'gao'lu'yuan'liao'gong 高炉原料工
'gao'lu'yun'zhuan'gong 高炉运转工
'gao'pin'deng'li'zi'gong 高频等离子工
'gao'pin'dian'gan'qi'jian'zhi'zao'gong 高频电感器件制造工
'gao'ya'xian'lu'dai'dian'jian'xiu'gong 高压线路带电检修工
'gao'ya'xian'lu'jia'she'gong 高压线路架设工
'ge'chang'yan'yuan 歌唱演员
'gong 工
'gong'cheng'ce'liang'gong 工程测量工
'gong'cheng'ce'liang'gong'cheng'ji'shu'ren'yuan 工程测量工程技术人员
'gong'gong'you'lan'suo'fu'wu'yuan 公共游览所服务员
'gong'guan'yuan 公关员
'gong'hui'fu'ze'ren 工会负责人
'gong'ju'qian'gong 工具钳工
'gong'ju'wu'jin'zhi'zuo'gong 工具五金制作工
'gong'lu'shou'fei'ji'jian'kong'yuan 公路收费及监控员
'gong'neng'mo'gong 功能膜工
'gong'shui'gong'ying'gong 供水供应工
'gong'shui'sheng'chan'gong 供水生产工
'gong'wei'jian'yan'ji'shi 公卫检验技师
'gong'ye'qi'ti'ye'hua'gong 工业气体液化工
